Month,Open,High,Low,Close
June-2015,11003.38,11054.86,10354.81,10903.53,
July-2015,10920.36,11340.45,10912.86,11233.42,
August-2015,11238.20,11438.18,10031.72,10536.38,
September-2015,10480.25,10577.34,9931.88,10498.27,
October-2015,10551.05,10994.76,10495.71,10671.58,
November-2015,10674.82,10747.69,10264.44,10580.88,
December-2015,10602.87,10646.36,10110.55,10634.22,
January-2016,10633.25,10691.89,9567.77,10014.03,
February-2016,10061.42,10077.14,9011.98,9206.02,
March-2016,9243.88,10211.26,9239.71,10185.12,
April-2016,10181.87,10578.96,9980.36,10406.12,
May-2016,10399.94,10816.18,10206.43,10761.49,
June-2016,10773.55,11045.33,10479.26,11029.45,
July-2016,11052.77,11633.37,11052.72,11585.96,
August-2016,11614.75,11880.02,11404.92,11834.89,
September-2016,11840.57,12083.11,11552.51,11700.65,
October-2016,11750.62,12032.26,11668.62,11878.89,
November-2016,11896.11,11926.95,10675.77,11195.09,
December-2016,11232.89,11249.60,10617.28,11036.44,
January-2017,11071.08,11825.55,11005.66,11659.94,
February-2017,11673.70,12270.70,11643.62,12176.95,
March-2017,12207.60,12650.57,12101.74,12631.90,
April-2017,12674.13,13053.04,12616.53,12979.24,
May-2017,13016.89,13288.81,12781.06,13199.15,
June-2017,13198.12,13431.53,13052.34,13178.45,
July-2017,13253.59,13947.56,13211.19,13897.23,
August-2017,13934.41,13968.92,13245.92,13762.13,
September-2017,13781.37,14216.92,13427.95,13610.70,
October-2017,13704.23,14522.24,13684.23,14485.57,
November-2017,14544.80,14741.48,14164.90,14493.58,
December-2017,14536.18,15015.22,14207.77,15002.73,
January-2018,15020.45,15660.94,14837.22,15347.19,
February-2018,15380.64,15450.21,14209.33,14670.49,
March-2018,14666.15,14727.78,13856.31,14125.53,
April-2018,14161.85,15064.12,14159.26,15047.73,
May-2018,15102.44,15109.38,14351.64,14765.69,
June-2018,14784.94,14936.98,14314.91,14528.54,
July-2018,14578.53,15327.53,14379.24,15314.81,
August-2018,15340.55,15906.13,15205.80,15846.20,
September-2018,15933.48,15937.92,14337.77,14445.89,
October-2018,14457.23,14564.81,13287.30,13881.71,
November-2018,13954.24,14481.82,13874.76,14429.00,
December-2018,14501.95,14681.14,13735.91,14540.39,
January-2019,14572.46,14595.97,14001.25,14285.11,
